gene_id	product	subfamily	contrast	log2FC	padj	direction
LOC110898466	aquaporin TIP4-1	TIP	Drought_14d	-5.840	2.31e-10	down
LOC110898466	aquaporin TIP4-1	TIP	Drought_21d	-2.843	0.00595	down
LOC110898466	aquaporin TIP4-1	TIP	PEG_72h	-1.944	0.000217	down
LOC110899589	aquaporin PIP1-3	PIP	Salt_NaCl	-5.480	0.012	down
LOC110899589	aquaporin PIP1-3	PIP	Drought_7d	-3.072	0.00064	down
LOC110899589	aquaporin PIP1-3	PIP	Drought_14d	-2.758	0.000592	down
LOC110899589	aquaporin PIP1-3	PIP	Drought_21d	-1.797	0.0419	down
LOC110899589	aquaporin PIP1-3	PIP	Orobanche_B	-2.291	0.00701	down
LOC110899589	aquaporin PIP1-3	PIP	Orobanche_E	-2.339	0.00332	down
LOC110899592	aquaporin PIP1-3	PIP	Cold	1.185	0.0158	up
LOC110899592	aquaporin PIP1-3	PIP	Drought_7d	-1.147	0.011	down
LOC110899592	aquaporin PIP1-3	PIP	Drought_14d	-1.687	6.13e-05	down
LOC110899592	aquaporin PIP1-3	PIP	Orobanche_B	-1.881	0.0134	down
LOC110899592	aquaporin PIP1-3	PIP	Orobanche_E	-2.198	0.0017	down
LOC110899655	probable aquaporin TIP-type	TIP	Orobanche_B	-2.181	3.63e-05	down
LOC110899655	probable aquaporin TIP-type	TIP	Orobanche_E	-2.029	6.7e-05	down
LOC110899654	probable aquaporin TIP-type RB7-5A	TIP	Heat	-3.175	0.0285	down
LOC110899654	probable aquaporin TIP-type RB7-5A	TIP	Orobanche_B	-2.305	2.6e-06	down
LOC110899654	probable aquaporin TIP-type RB7-5A	TIP	Orobanche_E	-2.213	3.32e-06	down
LOC110899653	probable aquaporin TIP-type RB7-5A	TIP	Orobanche_B	-1.224	0.0155	down
LOC110899653	probable aquaporin TIP-type RB7-5A	TIP	Orobanche_E	-1.226	0.00972	down
LOC110899667	probable aquaporin TIP-type RB7-5A	TIP	Drought_7d	-4.540	0.00132	down
LOC110899667	probable aquaporin TIP-type RB7-5A	TIP	Drought_21d	-3.550	0.00967	down
LOC110899667	probable aquaporin TIP-type RB7-5A	TIP	Orobanche_B	-1.268	0.0112	down
LOC110899667	probable aquaporin TIP-type RB7-5A	TIP	Orobanche_E	-1.258	0.0073	down
LOC110905693	probable aquaporin NIP-type	NIP	Drought_14d	4.258	0.000112	up
LOC110905693	probable aquaporin NIP-type	NIP	Drought_21d	3.417	0.0063	up
LOC110905693	probable aquaporin NIP-type	NIP	Sclerotinia	-1.801	1.66e-06	down
LOC110904303	aquaporin PIP2-2	PIP	Cold	1.706	0.000752	up
LOC110904303	aquaporin PIP2-2	PIP	Drought_21d	-1.005	1.87e-05	down
