gene_id	product	subfamily	Cold_LFC	Cold_padj	Heat_LFC	Heat_padj	Drought_869_LFC	Drought_869_padj	Salt_NaCl_LFC	Salt_NaCl_padj	Rehydration_LFC	Rehydration_padj	Drought_7d_LFC	Drought_7d_padj	Drought_14d_LFC	Drought_14d_padj	Drought_21d_LFC	Drought_21d_padj	PEG_72h_LFC	PEG_72h_padj	Flooding_LFC	Flooding_padj	Sclerotinia_LFC	Sclerotinia_padj	Orobanche_A_LFC	Orobanche_A_padj	Orobanche_B_LFC	Orobanche_B_padj	Orobanche_C_LFC	Orobanche_C_padj	Orobanche_D_LFC	Orobanche_D_padj	Orobanche_E_LFC	Orobanche_E_padj
LOC110895309	probable aquaporin PIP2-8	PIP	1.0264	0.145606	0.544356	0.229455	0.371807	0.922621	1.03394	0.0164471	0.40607	0.841791	-2.14204	0.00169825	-2.28977	0.000442724	-0.407112	0.686206	-2.39704	1.29651e-06	-0.0790862	0.847548	0.118703	0.792512	-0.569215	0.333347	-1.35955	0.00112434	-0.0949	0.872324	-0.402755	0.388866	0.864154	0.0280717
LOC110897890	aquaporin PIP1-3	PIP	2.35753	1.55056e-28	1.48372	0.0019656	0.296789	0.700819	-0.131555	0.490582	0.353009	0.613544	-0.498544	0.0369534	-1.09622	3.48347e-07	-1.32832	5.98646e-09	-1.32391	1.5633e-05	-0.139023	0.209581	0.561197	6.10443e-06	-0.238892	0.60209	-0.615468	0.0251215	0.0600269	0.877374	-0.407733	0.147304	-0.612145	0.0183024
LOC110898014	aquaporin TIP1-1	TIP	1.78943	1.55713e-06	-1.80121	0.0179856	-0.126168	0.985386	0.0858412	0.875951	1.11014	0.559815	-2.77836	9.37718e-06	-3.37003	2.7237e-08	-0.364929	0.706891	-2.16107	0.00132993	-0.217451	0.535987	0.273906	0.2799	0.125173	NA	-1.57275	NA	-0.869408	NA	-1.61646	0.389208	-0.81597	NA
LOC110898128	aquaporin SIP1-2	SIP	4.31004	0.00473219	-1.64798	0.404561	0.603931	0.948746	0.458863	0.697919	-0.450263	NA	-3.58348	0.000193762	-5.09455	4.52445e-07	-2.66559	0.00716606	-1.23168	0.00113024	-0.153334	0.55739	-0.377352	0.838727	-0.445354	0.760473	-0.620594	0.497257	-0.0425141	0.97026	-0.0034429	0.999123	-0.870495	0.293481
LOC110898466	aquaporin TIP4-1	TIP	3.32208	2.58236e-05	0.195605	0.757997	-0.0234708	0.995013	0.0825514	0.917075	0.172875	0.968358	-4.46131	2.08382e-06	-5.83994	2.31135e-10	-2.84333	0.00594903	-1.94397	0.0002174	0.0442439	0.862085	-0.166319	0.732703	-0.0486695	0.963336	0.155101	0.769814	-0.258322	0.563979	-0.450121	0.261946	-0.90674	0.00982777
LOC110899589	aquaporin PIP1-3	PIP	0.53154	0.775357	-0.681506	0.576058	-0.644039	0.965075	-5.48046	0.0119682	1.47847	0.775721	-3.07159	0.000640074	-2.75789	0.000592037	-1.79695	0.0418845	-0.0107276	0.992858	-0.745422	0.137272	1.16122	0.564034	-1.16439	0.32327	-2.29105	0.007013	-1.46292	0.0888266	-0.884779	0.341671	-2.33932	0.00332168
LOC110899592	aquaporin PIP1-3	PIP	1.18472	0.0158413	-0.31499	0.536427	-0.187516	0.970253	-0.598642	0.490551	0.175795	0.9711	-1.14702	0.0109578	-1.68695	6.12863e-05	-0.865209	0.0786278	-0.603296	0.0296959	0.116984	0.805061	0.187158	0.761323	-0.862196	0.451617	-1.88106	0.0134335	-0.964842	0.231711	-0.744565	0.380941	-2.19798	0.00169904
LOC110899655	probable aquaporin TIP-type	TIP	0.4369	0.613904	-4.0427	NA	1.26479	0.863345	-1.05746	0.349807	-2.48548	0.377084	-1.96747	0.0577744	-0.397454	0.732579	-1.75512	0.125443	-0.989746	0.126467	0.44961	0.29379	0.607165	0.463973	0.460017	0.641712	-2.18125	3.63479e-05	-0.358889	0.604435	0.00269032	0.999123	-2.02871	6.69618e-05
LOC110899654	probable aquaporin TIP-type RB7-5A	TIP	0.612471	0.629698	-3.17549	0.028521	2.1723	0.734798	-0.831563	0.546285	-1.80975	0.800253	-1.8223	0.222472	-0.748547	0.620679	-1.28019	0.46275	-1.05542	0.198512	0.70103	0.076294	0.232988	0.793718	0.930988	0.173781	-2.3052	2.59749e-06	-0.365352	0.572785	-0.594226	0.312138	-2.213	3.31785e-06
LOC110899653	probable aquaporin TIP-type RB7-5A	TIP	1.1793	0.588176	-2.38483	0.0618492	5.56305	0.715027	-1.08031	0.566431	-2.43899	0.702431	-2.23024	0.0937887	1.22251	0.32003	-1.02896	0.525327	-1.0149	0.118732	0.170669	0.758204	-0.287881	0.807574	0.1078	0.93354	-1.22398	0.0155367	-0.568556	0.300818	-0.313495	0.613295	-1.2264	0.00971595
